"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"qfp:TQFP32_P0.8mm";1;"ATMEGA328P";;;
2;"IC2";"sot:SOT223";1;"DNP(LM1117_3.3)";;;
3;"P1";"sip:SIP2";1;"VLED_IN";;;
4;"P2";"connect-thru:2x3-ARRAY_P100mil";1;"AVR_ISP";;;
5;"P3";"sip:SIP6";1;"SERIAL";;;
6;"P4,P5,P6";"sip:SIP5";3;"LEDSTACK";;;
7;"P7";"sip:SIP5";1;"USER-INPUT";;;
8;"P8";"sip:SIP2";1;"EXTRA-ADC";;;
9;"P10";"sip:SIP2";1;"V_IN";;;
10;"Y1";"crystal:ABRACON-ABM2_xtal";1;"8MHz";;;
11;"JP1";"jumper:SOLDER-JUMPER_1-WAY";1;"VLED-VIN-JUMP";;;
12;"C1,C4,C5,C6,C9";"capacitor:0603(1608m)-CHIP-CAP";5;"0.1uF";;;
13;"C2,C3";"capacitor:0603(1608m)-CHIP-CAP";2;"24pF";;;
14;"C7";"capacitor:1206(3216m)-CHIP-CAP";1;"DNP(10uF)";;;
15;"C8";"capacitor:1206(3216m)-CHIP-CAP";1;"DNP(22uF)";;;
16;"R1,R2,R3";"resistor:0603(1608m)-CHIP-RESISTOR";3;"10kΩ";;;
17;"R6,R7";"resistor:0603(1608m)-CHIP-RESISTOR";2;"1kΩ";;;
18;"LED1,LED2";"led:0603(1608m)-SM-LED";2;"RED";;;
